a,b,tau
4.093897506974531,-0.23522403961374266,0.5919029910956766
4.137482501432779,-0.23750082482001372,0.6168991296371196
4.186764067291714,-0.23949614360894514,0.6073062175197431
4.143176908301241,-0.23837084502886216,0.5926754946074841
4.155192669420011,-0.23755338505143092,0.5931670091001134
4.168921161703911,-0.23941141205627317,0.6165240113751305
4.148949642272762,-0.23895209544395557,0.6093832843707024
4.185534305596707,-0.23814182354821592,0.590050451142965
4.210294370903411,-0.23974487593915325,0.6038158133541688
4.198109851819437,-0.23863948169794302,0.5828824240441653
4.236096225035501,-0.2400725875597638,0.6046786001526759
4.205427018658763,-0.2400846518646397,0.6066853066327461
4.1127932806055965,-0.23527262379787053,0.5944037326049122
4.138034502583874,-0.2375987307767306,0.6036202948159182
4.156383422878764,-0.23976352655430416,0.6146602631379553
4.13709093958153,-0.24013254114268892,0.613907570156817
4.164075358371545,-0.23883610510044012,0.6015892123331577
4.140460878560222,-0.23711177819228507,0.5999255600543442
4.1529703661227115,-0.23793847393824727,0.5906788846391977
4.1298022054763095,-0.23745270097890767,0.5821603841779505
4.125718102205071,-0.2365759279024061,0.5804417323596961
4.140297904207529,-0.2375216859386773,0.5832845410538651
4.172581477262808,-0.24039642689658403,0.5998703087004679
4.202002456819949,-0.23927166118395696,0.6071612231986628
4.156758163591414,-0.23571435427479495,0.6056229661291294
4.123363229040601,-0.2351519043531383,0.6052043700736248
4.212654372041735,-0.24077320620431938,0.6056504144227912
4.205411335253026,-0.24106759580622847,0.6007324639945901
4.2090531274538705,-0.24035922068224796,0.6033863467703291
4.194857305837452,-0.23972131678789763,0.5902139195714928
4.18126286937392,-0.23952584006218466,0.5895855242867424
4.1827111400072745,-0.2395285326654617,0.6061316182203286
4.181912055351983,-0.23947244292624087,0.6055074909826589
4.139225458380512,-0.23758195481599287,0.6089105644697866
4.135368658880821,-0.23710642681086996,0.5923250689829258
4.135368658880821,-0.23710642681086996,0.5923250689829258
4.149752288567052,-0.23619406764356385,0.5906774335405487
4.1420885416497155,-0.23710812633836045,0.5980896997761124
4.172797650190183,-0.2396523690643539,0.6023080714949729
4.192022163132498,-0.23893497838119734,0.6054533612761511
4.138447316604357,-0.2384131099511083,0.5935580116572413
4.170764468446487,-0.23833992105686816,0.6204154337193799
4.164955882811084,-0.2389969625991384,0.6099546497491586
4.1504265840232275,-0.23810523354683663,0.6159340584828626
4.158876734879988,-0.2383815720411705,0.6249395882528012
4.184195690545291,-0.2401841284551577,0.6000314970000653
4.22154043435239,-0.2408399906170224,0.6084830037672421
4.180878094367504,-0.23956360733983587,0.5872110956418986
4.101859493620373,-0.23612260720722378,0.5827568917647484
4.1226302522449485,-0.23579615136739718,0.5975571179744668
4.177963140466183,-0.24001727764467856,0.6037177569496126
4.152276669698495,-0.2392134187846729,0.6010501715836429
4.156072859798939,-0.2369119263855828,0.6094672533361973
4.132201201862407,-0.23803926121430055,0.5908656958392082
4.1309774670062245,-0.23861629615499896,0.6167261471902126
4.169466998650583,-0.23818149006880507,0.5958257213861586
4.156573256538027,-0.23684493764658004,0.5907459335987632
4.156573256538027,-0.23684493764658004,0.5907459335987632
4.16977059985538,-0.23922378690495946,0.6058967485316581
4.143495762608996,-0.2380605659182276,0.6018982120523466
4.184807400248124,-0.24066053139229465,0.618816555508172
4.194990962140164,-0.24115177534432172,0.5861717947407076
4.202522681299386,-0.24048904428165802,0.5879792009896703
4.175134353493515,-0.23851653624784266,0.5950495819597734
4.1624616054275885,-0.2388740957193619,0.5986893119380269
4.1930136056085505,-0.23901593424449313,0.6034834674077674
4.12699589853942,-0.2369586521665384,0.596481052528256
4.119810986028479,-0.23630240155962753,0.5850943861050093
4.169141288719464,-0.2379840165919481,0.5981713747169761
4.192575299271884,-0.2402375293676052,0.5967340572845806
4.15306829924874,-0.23736058981656272,0.602332815751428
4.1650999000127,-0.23754852778223648,0.6013230672205007
4.1650999000127,-0.23754852778223648,0.6013230672205007
4.155402480556441,-0.2392848547945373,0.5957820810195128
4.202385964372085,-0.23905500683889172,0.6005100141799786
4.185977328238449,-0.2409873304658766,0.5891627139528177
4.155491507829226,-0.23808171257948105,0.6034358048820252
4.117310471727407,-0.23711777306222662,0.6132907617665462
4.131852154139202,-0.2361807693170283,0.6143960677924203
4.213394560484295,-0.2403669958009283,0.6086608962140175
4.210818068556952,-0.24152308243576398,0.6131256470089744
4.234703056303516,-0.24155388273119482,0.611211816633628
4.1838766263664295,-0.2385212041195372,0.6089240763249448
4.161127916741004,-0.23904381421315835,0.589890350723242
4.159293685898701,-0.23919249511112248,0.5966803153363766
4.159852820067499,-0.23883895336912292,0.6029161936340449
4.175321500446585,-0.23824316070926294,0.6064633443956481
4.175321500446585,-0.23824316070926294,0.6064633443956481
4.178787311797326,-0.23981510403877887,0.606040758307094
4.152786664954032,-0.2389128809287031,0.5958678860211211
4.16006506555137,-0.2393980415822566,0.5978563862900264
4.181057657347625,-0.2382035518645233,0.5968146621029594
4.146258480697026,-0.23913136848516617,0.6038392131635762
4.189632004005569,-0.23987347162954895,0.593384339263064
4.152927497594916,-0.2384618866630832,0.5964742565586363
4.147110447468137,-0.23852260427893682,0.5906312759121658
4.189580674733791,-0.23816912265456364,0.6026787064060284
4.138575314993549,-0.2385333434297417,0.5836291266525842
4.183888671185869,-0.23817402346203037,0.5994099308946527
4.113218409611355,-0.2371765395989638,0.60006424384685
4.156579589298549,-0.2371824867139415,0.5815183728097454
4.196201438425164,-0.24156618978867864,0.5910741002923764
4.215142470455586,-0.2396662603535323,0.5985797871636106
4.130531773270086,-0.2358606269207574,0.6056725595449053
4.130247438849795,-0.23791500002581592,0.5921751974901572
4.143336393352279,-0.23794382714096515,0.6031962769603945
4.126354564981096,-0.23827662126787896,0.6166690911803855
4.148520816987067,-0.23603738006277808,0.6166433306685082
4.133504288095083,-0.23866037746064844,0.6091882777188697
